species,sp_mean_freq,sp_sd_freq,sp_mean_time,sp_sd_time
Crinia insignifera,3353.1283891469866,436.8558913811372,0.2173834139889018,0.05541763017426427
Crinia parinsignifera,3745.7335200746966,400.4386008805863,0.26865564892623717,0.1331758505542666
Limnodynastes dorsalis,609.3869100851723,130.14403413365415,0.1649470189701897,0.07146197873104482
Limnodynastes peronii,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184
Litoria chloris,1872.767980743215,190.36128996990237,0.9746761157823658,0.1901479619611028
Litoria xanthomera,2160.303056267463,197.8068978857227,0.7490547801452503,0.13920121627785617
