effect,group,term,estimate,std.error,statistic,df,p.value,predictor,response
fixed,NA,(Intercept),1.6675375851766107e-16,0.012894313684729325,1.2932348521592644e-14,5997.999999980944,0.9999999999999897,Area,Time
fixed,NA,Area,0.04188470577897095,0.012900765680972322,3.2466837096923484,5997.9999999793135,0.0011739974359821627,Area,Time
fixed,NA,(Intercept),1.6836168382148483e-16,0.012905617396502912,1.3045612514989518e-14,5998.00000001364,0.9999999999999896,Days,Time
fixed,NA,Days,0.0018305633623853835,0.012912075048844212,0.1417714314283854,5997.999999959612,0.8872653118794877,Days,Time
fixed,NA,(Intercept),1.6853657658774293e-17,0.01286193050953303,1.3103521004317873e-15,5997.999999844957,0.9999999999999989,Area,Frequency
fixed,NA,Area,0.08223187947825017,0.01286836630203461,6.390234591414182,5997.9999998601315,1.7809401233050598e-10,Area,Frequency
fixed,NA,(Intercept),2.2267058941283065e-17,0.012889451780388752,1.7275411957521967e-15,5997.999999891779,0.9999999999999987,Days,Frequency
fixed,NA,Days,0.05006974855456987,0.012895901343854831,3.882609460131235,5997.99999992609,1.044514989555044e-4,Days,Frequency
